slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
DISTRICT ATTORNEY, 18TH JUDICIAL DISTRICT	R	TIMOTHY M. GOOD	67,702			
DISTRICT ATTORNEY, 21ST JUDICIAL DISTRICT	R	DEREK ESTEP	14,621			
DISTRICT ATTORNEY, 23RD JUDICIAL DISTRICT	D	STEVEN REIS	7,874			
DISTRICT ATTORNEY, 24TH JUDICIAL DISTRICT	R	BRIAN MICHAEL CROMEENS	12,108			
DISTRICT ATTORNEY, 26TH JUDICIAL DISTRICT	R	SHAWN DICK	169,423			
DISTRICT ATTORNEY, 27TH JUDICIAL DISTRICT	R	STEPHANIE NEWELL	87,065			
DISTRICT ATTORNEY, 29TH JUDICIAL DISTRICT	R	JETT SMITH	11,482			
DISTRICT ATTORNEY, 31ST JUDICIAL DISTRICT	R	FRANKLIN MCDONOUGH	11,486			
DISTRICT ATTORNEY, 32ND JUDICIAL DISTRICT	R	RICKY THOMPSON	7,923			
DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT	R	PERRY THOMAS	42,482			
DISTRICT ATTORNEY, 34TH JUDICIAL DISTRICT	D	JAMES MONTOYA	128,966	R	BILL D. HICKS	96,801
DISTRICT ATTORNEY, 35TH JUDICIAL DISTRICT	R	MICHEAL MURRAY	17,063			
DISTRICT ATTORNEY, 36TH JUDICIAL DISTRICT	R	MARGIE SILVA FLORES	19,645			
DISTRICT ATTORNEY, 38TH JUDICIAL DISTRICT	R	CHRISTINA MITCHELL	8,487			
DISTRICT ATTORNEY, 39TH JUDICIAL DISTRICT	D	MIKE FOUTS	2,494			
DISTRICT ATTORNEY, 42ND JUDICIAL DISTRICT	R	HEATH HEMPHILL	3,575			
DISTRICT ATTORNEY, 43RD JUDICIAL DISTRICT	R	JEFF SWAIN	78,184			
DISTRICT ATTORNEY, 46TH JUDICIAL DISTRICT	R	JON WHITSITT	5,265			
DISTRICT ATTORNEY, 47TH JUDICIAL DISTRICT	R	JASON E. HERRING	26,082			
DISTRICT ATTORNEY, 49TH JUDICIAL DISTRICT	D	"ISIDRO R. ""CHILO"" ALANIZ"	52,129			
DISTRICT ATTORNEY, 50TH JUDICIAL DISTRICT	R	HUNTER BROOKS	3,125			
DISTRICT ATTORNEY, 51ST JUDICIAL DISTRICT	R	ALLISON PALMER	39,451			
DISTRICT ATTORNEY, 52ND JUDICIAL DISTRICT	R	DUSTY BOYD	18,840			
DISTRICT ATTORNEY, 53RD JUDICIAL DISTRICT	D	JOSÉ GARZA	355,513	R	DANIEL W BETTS	170,554
DISTRICT ATTORNEY, 63RD JUDICIAL DISTRICT	R	SUZANNE WEST	11,710			
DISTRICT ATTORNEY, 64TH JUDICIAL DISTRICT	R	WALLY HATCH	7,823			
DISTRICT ATTORNEY, 66TH JUDICIAL DISTRICT	R	MARK PRATT	14,168			
DISTRICT ATTORNEY, 69TH JUDICIAL DISTRICT	R	ERIN LANDS ANCHONDO	8,144			
DISTRICT ATTORNEY, 70TH JUDICIAL DISTRICT	R	DUSTY GALLIVAN	35,544			
DISTRICT ATTORNEY, 76TH JUDICIAL DISTRICT	R	CHARLES C. BAILEY	12,303			
DISTRICT ATTORNEY, 79TH JUDICIAL DISTRICT	D	CARLOS OMAR GARCIA	9,915			
DISTRICT ATTORNEY, 81ST JUDICIAL DISTRICT	R	AUDREY GOSSETT LOUIS	44,555			
DISTRICT ATTORNEY, 83RD JUDICIAL DISTRICT	R	ORI T. WHITE	7,547			
DISTRICT ATTORNEY, 84TH JUDICIAL DISTRICT	R	MARK W. SNIDER	8,768			
DISTRICT ATTORNEY, 85TH JUDICIAL DISTRICT	R	JARVIS PARSONS	64,110			
DISTRICT ATTORNEY, 88TH JUDICIAL DISTRICT	R	REBECCA R. WALTON	24,659			
DISTRICT ATTORNEY, 90TH JUDICIAL DISTRICT	R	DEE PEAVY	10,578			
DISTRICT ATTORNEY, 97TH JUDICIAL DISTRICT	R	KATIE (WOODS) BOGGEMAN	19,300			
DISTRICT ATTORNEY, 100TH JUDICIAL DISTRICT	R	LUKE MCLEAN INMAN	8,226			
DISTRICT ATTORNEY, 105TH JUDICIAL DISTRICT	R	JIMMY GRANBERRY	63,907	D	TERRY SHAMSIE	50,925
DISTRICT ATTORNEY, 106TH JUDICIAL DISTRICT	R	PHILIP MACK FURLOW	12,280			
DISTRICT ATTORNEY, 109TH JUDICIAL DISTRICT	R	AMANDA NAVARETTE	2,707			
DISTRICT ATTORNEY, 110TH JUDICIAL DISTRICT	R	EMILY TEEGARDIN	3,826			
HARRIS COUNTY DISTRICT ATTORNEY	D	SEAN TEARE	741,397	R	DAN SIMONS	717,331
DISTRICT ATTORNEY, 112TH JUDICIAL DISTRICT	R	STEPHEN DODD	7,225			
DISTRICT ATTORNEY, 118TH JUDICIAL DISTRICT	R	JOSHUA ANDREW HAMBY	10,243			
DISTRICT ATTORNEY, 119TH JUDICIAL DISTRICT	R	JOHN BEST	40,679			
DISTRICT ATTORNEY, 123RD JUDICIAL DISTRICT	R	KARREN S. PRICE	7,952			
DISTRICT ATTORNEY, 132ND JUDICIAL DISTRICT	R	BEN R. SMITH	5,074			
DISTRICT ATTORNEY, 142ND JUDICIAL DISTRICT	R	GLENN HARWOOD	47,955			
DISTRICT ATTORNEY, 143RD JUDICIAL DISTRICT	R	SARAH STOGNER	4,081	D	RANDY REYNOLDS	2,527
DISTRICT ATTORNEY, 145TH JUDICIAL DISTRICT	R	ANDREW E. JONES	17,604			
DISTRICT ATTORNEY, 156TH JUDICIAL DISTRICT	R	TIFFANY MCWILLIAMS	11,318			
DISTRICT ATTORNEY, 159TH JUDICIAL DISTRICT	R	LAYNE ALLEN THOMPSON	27,277			
DISTRICT ATTORNEY, 173RD JUDICIAL DISTRICT	R	JENNY PALMER	31,480			
DISTRICT ATTORNEY, 196TH JUDICIAL DISTRICT	R	"NOBLE D. ""NOBIE"" WALKER, JR"	36,074			
DISTRICT ATTORNEY, 198TH JUDICIAL DISTRICT	R	STEPHEN HARPOLD	34,194			
DISTRICT ATTORNEY, 216TH JUDICIAL DISTRICT	R	LUCY WILKE	36,521			
DISTRICT ATTORNEY, 220TH JUDICIAL DISTRICT	R	ADAM SIBLEY	17,271			
DISTRICT ATTORNEY, 229TH JUDICIAL DISTRICT	D	GOCHA ALLEN RAMIREZ	13,224			
DISTRICT ATTORNEY, 235TH JUDICIAL DISTRICT	R	JOHN WARREN	17,298			
DISTRICT ATTORNEY, 253RD JUDICIAL DISTRICT	R	JENNIFER L. BERGMAN	25,460			
DISTRICT ATTORNEY, 258TH JUDICIAL DISTRICT	R	BENNIE L SCHIRO	6,079			
DISTRICT ATTORNEY, 259TH JUDICIAL DISTRICT	R	ISAAC M. CASTRO	7,386			
DISTRICT ATTORNEY, 266TH JUDICIAL DISTRICT	R	ALAN NASH	15,151			
DISTRICT ATTORNEY, 271ST JUDICIAL DISTRICT	R	JAMES M. STAINTON	36,915			
DISTRICT ATTORNEY, 286TH JUDICIAL DISTRICT	R	DONNIE YANDELL	7,502			
DISTRICT ATTORNEY, 287TH JUDICIAL DISTRICT	R	JACKIE R. CLABORN II	3,584			
DISTRICT ATTORNEY, 293RD JUDICIAL DISTRICT	D	ROBERTO SERNA	13,901			
DISTRICT ATTORNEY, 329TH JUDICIAL DISTRICT	R	MARK W. RACER	13,169			
DISTRICT ATTORNEY, 344TH JUDICIAL DISTRICT	R	CHERYL LIECK HENRY	21,430			
DISTRICT ATTORNEY, 349TH JUDICIAL DISTRICT	D	DAPHNE SESSION	4,769			
DISTRICT ATTORNEY, 355TH JUDICIAL DISTRICT	R	RYAN SINCLAIR	30,811			
DISTRICT ATTORNEY, 369TH JUDICIAL DISTRICT	R	JAMES CALEB HENSON	7,918			
DISTRICT ATTORNEY, 506TH JUDICIAL DISTRICT	R	ANDRIA BENDER	11,792			
DISTRICT ATTORNEY FOR KLEBERG AND KENEDY COUNTIES	R	JOHN T. HUBERT	7,741			
CRIMINAL DISTRICT ATTORNEY FANNIN COUNTY	R	JOHN SKOTNIK	14,209			
CRIMINAL DISTRICT ATTORNEY GRAYSON COUNTY	R	JOHN KERMIT HILL	47,258	D	BRANDY DOUGLAS	15,642
CRIMINAL DISTRICT ATTORNEY MEDINA COUNTY	R	MARK HABY	19,752			
CRIMINAL DISTRICT ATTORNEY WALLER COUNTY - UNEXPIRED TERM	R	SEAN WHITTMORE	20,867			
2ND MULTICOUNTY COURT AT LAW	R	HARVEY HARDWICK	11,392		
