slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
STATE REPRESENTATIVE DISTRICT 14	R	PAUL DYSON	40,158	D	FRED MEDINA	26,222
STATE REPRESENTATIVE DISTRICT 15	R	STEVE TOTH	73,607			
STATE REPRESENTATIVE DISTRICT 16	R	WILL METCALF	73,306	D	MIKE MIDLER	17,894
STATE REPRESENTATIVE DISTRICT 17	R	STAN GERDES	53,424	D	DESIREE VENABLE	27,248
STATE REPRESENTATIVE DISTRICT 18	R	JANIS HOLT	69,185	L	SETH STEELE	10,710
STATE REPRESENTATIVE DISTRICT 19	R	ELLEN TROXCLAIR	87,218	D	DWAIN HANDLEY	31,357
STATE REPRESENTATIVE DISTRICT 20	R	TERRY M. WILSON	63,920	D	STEPHEN M. WYMAN	42,985
STATE REPRESENTATIVE DISTRICT 21	R	DADE PHELAN	66,303			
STATE REPRESENTATIVE DISTRICT 22	D	CHRISTIAN MANUEL	34,116			
STATE REPRESENTATIVE DISTRICT 23	R	TERRI LEO WILSON	53,760	D	DEV MERUGUMALA	26,614
STATE REPRESENTATIVE DISTRICT 24	R	GREG BONNEN	78,582			
STATE REPRESENTATIVE DISTRICT 25	R	CODY THANE VASUT	46,956	D	J. DAGGETT	29,947
STATE REPRESENTATIVE DISTRICT 26	R	MATT MORGAN	48,420	D	DANIEL LEE	33,318
STATE REPRESENTATIVE DISTRICT 27	D	RONALD REYNOLDS	57,292	R	IBIFRISOLAM MAX-ALALIBO	24,845
STATE REPRESENTATIVE DISTRICT 28	R	GARY GATES	56,771	D	MARTY ROCHA	36,861
STATE REPRESENTATIVE DISTRICT 29	R	JEFFREY BARRY	49,603	D	ADRIENNE BELL	30,999
STATE REPRESENTATIVE DISTRICT 30	R	AJ LOUDERBACK	57,070	D	STEPHANIE R. BASSHAM	17,089
STATE REPRESENTATIVE DISTRICT 31	R	RYAN GUILLEN	50,165			
STATE REPRESENTATIVE DISTRICT 32	R	TODD HUNTER	53,930	D	CATHY MCAULIFFE	24,538
STATE REPRESENTATIVE DISTRICT 33	R	KATRINA PIERSON	70,844			
STATE REPRESENTATIVE DISTRICT 34	R	DENISE VILLALOBOS	28,509	D	SOLOMON P. ORTIZ JR	22,955
STATE REPRESENTATIVE DISTRICT 35	D	OSCAR LONGORIA	25,856			
STATE REPRESENTATIVE DISTRICT 36	D	SERGIO MUÑOZ JR	32,424			
STATE REPRESENTATIVE DISTRICT 37	R	JANIE LOPEZ	30,542	D	JONATHAN GRACIA	24,966
STATE REPRESENTATIVE DISTRICT 38	D	ERIN ELIZABETH GAMEZ	33,923			
STATE REPRESENTATIVE DISTRICT 39	D	"ARMANDO ""MANDO"" MARTINEZ"	26,921	R	JIMMIE GARCIA	17,285
STATE REPRESENTATIVE DISTRICT 40	D	TERRY CANALES	34,623			
STATE REPRESENTATIVE DISTRICT 41	D	BOBBY GUERRA	30,542	R	JOHN ROBERT GUERRA	26,594
STATE REPRESENTATIVE DISTRICT 42	D	RICHARD PENA RAYMOND	38,570			
